Common Text Strings to Keep
If includes…
Bedroom
Master
Junior
Washroom
Toilet
Powder
WC
W/C
Male
Female
Ladies
Gents
Handicapped
HCP
Living
Dining
Kitchen
Pantry
Walk-in
Wardrobe
Balcony
Lift
Stair
Garden
Landscape
Pool
Maid
Gym
Storage
Office
Meeting
Reception
Lobby
Arrival
Conference
Director
Chairman
Collab
Retail
F&B
